Degerlendirme Puani,Basvuru Yili,Dogum Tarihi,Burslu ise Burs Yuzdesi,Stk Projesine Katildiniz Mi?,id,Dogum Yeri,Ikametgah Sehri,Universite Kacinci Sinif,Lise Adi,Lise Adi Diger,Lise Sehir,Lise Bolum Diger,Burs Aldigi Baska Kurum,Baska Kurumdan Aldigi Burs Miktari,Uye Oldugunuz Kulubun Ismi,Hangi STK'nin Uyesisiniz?,Girisimcilikle Ilgili Deneyiminizi Aciklayabilir misiniz?,Ingilizce Seviyeniz?,"Daha Önceden Mezun Olunduysa, Mezun Olunan Üniversite",Degerlendirme Puani (1),Degerlendirme Puani (error),Selected,Cinsiyet,Universite Adi,Universite Turu,Burs Aliyor mu?,Bölüm,Universite Not Ortalamasi,Daha Once Baska Bir Universiteden Mezun Olmus,Lise Turu,Lise Bolumu,Lise Mezuniyet Notu,Baska Bir Kurumdan Burs Aliyor mu?,Anne Egitim Durumu,Anne Calisma Durumu,Anne Sektor,Baba Egitim Durumu,Baba Calisma Durumu,Baba Sektor,Kardes Sayisi,Girisimcilik Kulupleri Tarzi Bir Kulube Uye misiniz?,Profesyonel Bir Spor Daliyla Mesgul musunuz?,Spor Dalindaki Rolunuz Nedir?,Aktif olarak bir STK üyesi misiniz?,Girisimcilikle Ilgili Deneyiminiz Var Mi?,Ingilizce Biliyor musunuz?,Basvuru Yasi
continuous,continuous,continuous,continuous,Evet Hayir,continuous,string,string,string,string,string,string,string,string,string,string,string,string,string,string,continuous,continuous,No Yes,Belirtmek\ istemiyorum Erkek Kadin,15\ -\ 20 20\ -\ 25 25\ -\ 30 30\ -\ 35 35\ -\ 40 40\ -\ 45 45\ -\ 50 50\ -\ 55 55\ -\ 60 60\ -\ 65 65\ -\ 70 Diğer,Devlet Ozel,Evet Hayir,15\ -\ 20 20\ -\ 25 25\ -\ 30 30\ -\ 35 35\ -\ 40 40\ -\ 45 45\ -\ 50 65\ -\ 70 Diğer,0\ -\ 1.79 1.00\ -\ 2.50 1.80\ -\ 2.49 2.50\ -\ 2.99 2.50\ ve\ altı 3.00\ -\ 3.49 3.00\ -\ 4.00 3.50\ -\ 4.00 Hazırlığım,Evet Hayir,Devlet Diğer Ozel,Diger Dil Esit\ Agirlik Sayisal Sozel,0\ -\ 24 2.50\ ve\ altı 25\ -\ 49 44-0 50\ -\ 74 54-45 75\ -\ 100 84-70 Not\ ortalaması\ yok,Evet Hayir,Doktora Egitimi\ yok Ilkokul Lise Ortaokul Universite Yuksek\ Lisans Yuksek\ Lisans\ /\ Doktora,Emekli Evet Hayir,Diger Kamu Ozel\ Sektor,Doktora Egitimi\ yok Ilkokul Lise Ortaokul Universite Yuksek\ Lisans Yuksek\ Lisans\ /\ Doktara,Emekli Evet Hayir,Diger Kamu Ozel\ Sektor,continuous,Evet Hayir,Evet Hayir,Bireysel\ Spor Diger Lider/Kaptan Takim\ Oyuncusu,Evet Hayir,Evet Hayir,Evet Hayir,19.0 20.0 21.0 22.0 23.0 24.0 25.0 26.0 27.0 Gelecekten
class,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,2017,1998.0,,Hayir,30311,Istanbul,Istanbul,,Fahrettin Kerim Gokay Anadolu Lisesi,,Istanbul,,,,Yildiz Teknik Uziversitesi Kalite ve Verimlilik Kulubu - Yildiz Teknik Universitesi IEEE Ogrenci Kolu,,,Orta,,34.6473,7.6473,No,Erkek,30 - 35,Devlet,Hayir,35 - 40,Hazırlığım,,Devlet,Sayisal,84-70,Hayir,Ilkokul,Evet,Diger,Ilkokul,Hayir,,1.0,Evet,Hayir,,Evet,Hayir,Evet,19.0
11.0,2018,1999.0,,Hayir,35652,Rize,Rize,,AHNI,,Rize,,,,,,,,,12.5576,1.55757,No,Kadin,25 - 30,Devlet,Hayir,Diğer,2.50 - 2.99,Hayir,Devlet,Esit Agirlik,84-70,Hayir,Ilkokul,Hayir,,Ilkokul,Emekli,,2.0,,,,Hayir,Evet,Hayir,19.0
8.0,2015,1991.0,0.0,Hayir,22215,Diyarbakir,Mersin,,Huseyin Okan Merzeci Anadolu Lisesi,,Mersin,,,,,,,Ileri,,9.59274,1.59274,No,Erkek,20 - 25,Devlet,Hayir,Diğer,,Hayir,Devlet,Dil,2.50 ve altı,Hayir,Egitimi yok,Hayir,,Ilkokul,Hayir,,6.0,Hayir,Hayir,,Hayir,Hayir,Evet,24.0
51.0,2020,1999.0,,,44662,Kirklareli,Istanbul,,Luleburgaz Anadolu Lisesi,,Kirklareli,,,,,,Kendimi bildim bileli kalemim ve kagidim en kadim dostum olmustur. Her bos zamanimda karalama yaparak zaman gecirdim. Egitim almadan belli bir kademeye geldigimi dusunuyorum. Ve en sonunda cevremdekilerin de destegiyle yaptigim tasarimlarimi instagramda actigim bir sayfa uzerinden poster seklinde satisa sunmaya basladim. Daha cok yeni bir girisim olsada fikirlerimle gelisime acik oldugunu dusunuyorum,,,36.6985,14.3015,No,Kadin,25 - 30,Devlet,Hayir,35 - 40,2.50 - 2.99,,Diğer,Sozel,75 - 100,Hayir,Lise,Hayir,,Lise,Hayir,,1.0,Hayir,Evet,,Hayir,Evet,Evet,21.0
21.0,2021,2000.0,100.0,,5009,Istanbul,Istanbul,,Habire Yahsi Anadolu Lisesi,,Istanbul,,,,,,,,,37.6101,16.6101,No,Kadin,35 - 40,Ozel,Evet,25 - 30,3.00 - 3.49,,Diğer,Sayisal,75 - 100,Hayir,Lise,,Diger,Lise,,Diger,2.0,Evet,Hayir,,,,Evet,21.0
27.0,2021,2002.0,,,50571,Istanbul,Istanbul,,Amiral Vehbi Ziya Dumer Anadolu Lisesi,,Istanbul,,,,,,,,,24.5995,2.40047,No,Kadin,30 - 35,Devlet,Hayir,25 - 30,3.50 - 4.00,,Diğer,Dil,75 - 100,Hayir,Ilkokul,,,Ortaokul,,Diger,2.0,Hayir,Hayir,,,,Evet,19.0
28.0,2019,2000.0,100.0,Evet,3266,Afyonkarahisar,Istanbul,,Bozuyuk Fen Lisesi,,Bilecik,,KYK,,,,,Ileri,,19.8795,8.12049,No,Erkek,40 - 45,Ozel,Evet,35 - 40,3.00 - 3.49,Hayir,Devlet,Sayisal,75 - 100,Evet,Ilkokul,Hayir,,Ilkokul,Evet,Ozel Sektor,1.0,Hayir,Hayir,,Hayir,Hayir,Evet,19.0
39.0,2021,1970.0,,,57168,Sanliurfa,Sanliurfa,,Abdurrahman Simsek Anadolu Saglik meslek lisesi,,Sanliurfa,,Genclik ve Spor bakanligi,,,,,,,34.0284,4.97162,No,Kadin,20 - 25,Devlet,Hayir,25 - 30,2.50 - 2.99,,Devlet,Esit Agirlik,50 - 74,Evet,Ilkokul,,,Ilkokul,,,5.0,Evet,Hayir,,,,Evet,Gelecekten
