id,Degerlendirme Puani
0,35.3906
1,22.6014
2,12.1664
3,22.1955
4,38.89
5,35.7082
6,10.0208
7,11.5069
8,17.0572
9,7.27472
10,41.0153
11,50.1118
12,30.4723
13,43.3792
14,22.2005
15,34.3097
16,21.8555
17,25.8835
18,41.7347
19,32.6027
20,27.5647
21,12.802
22,21.2656
23,16.5125
24,41.6602
25,12.6086
26,7.08595
27,45.0913
28,31.2312
29,39.9091
30,20.5087
31,39.7815
32,12.5396
33,34.8255
34,33.829
35,23.6145
36,30.3411
37,17.7428
38,22.6249
39,49.3476
40,39.5226
41,30.3137
42,47.3099
43,35.9091
44,36.2974
45,22.9003
46,27.3466
47,31.8016
48,53.3327
49,29.0875
50,39.4075
51,23.6382
52,16.4033
53,52.5773
54,42.448
55,53.2154
56,47.2248
57,18.6589
58,37.5615
59,23.5173
60,9.52432
61,32.1241
62,17.1665
63,46.559
64,24.006
65,61.7928
66,58.8886
67,28.4372
68,34.1388
69,22.5236
70,55.7714
71,22.811
72,41.2237
73,32.0337
74,12.2221
75,9.95224
76,18.3355
77,47.0073
78,14.4875
79,22.3726
80,19.0567
81,60.2105
82,28.3365
83,27.7928
84,28.1956
85,5.64361
86,27.6152
87,39.0114
88,35.9822
89,33.8904
90,43.4641
91,30.8096
92,22.7427
93,27.4816
94,15.6648
95,11.1768
96,48.8733
97,38.6033
98,11.2316
99,14.8412
100,41.4393
101,45.9279
102,18.8042
103,30.4646
104,43.6022
105,34.3058
106,32.1992
107,40.734
108,33.2631
109,23.7763
110,22.8108
111,8.28082
112,6.89206
113,35.2124
114,36.0756
115,45.1891
116,16.2497
117,30.7703
118,35.8037
119,42.6695
120,6.67056
121,35.2508
122,48.9561
123,32.7542
124,22.2723
125,25.0085
126,40.1799
127,28.9094
128,13.288
129,34.6604
130,19.5058
131,21.6916
132,32.1518
133,37.6317
134,41.9938
135,33.7317
136,45.7408
137,53.2247
138,47.6118
139,51.4824
140,39.8664
141,20.0629
142,29.9141
143,25.4864
144,19.3785
145,19.4761
146,15.6823
147,48.1235
148,22.1276
149,48.3261
150,10.2715
151,49.7698
152,30.0839
153,36.7068
154,22.0955
155,51.9359
156,48.4571
157,10.1374
158,21.6997
159,35.8961
160,44.6429
161,36.2639
162,8.52014
163,9.81969
164,46.3962
165,34.0577
166,30.9375
167,38.7827
168,25.9681
169,30.5143
170,22.3141
171,41.9902
172,22.2791
173,55.9049
174,44.7061
175,48.4224
176,54.9446
177,6.52762
178,52.8434
179,19.9042
180,56.2449
181,46.5423
182,43.206
183,32.0254
184,31.0904
185,12.8246
186,60.1383
187,57.0184
188,14.4291
189,22.7925
190,13.4199
191,32.9124
192,22.2497
193,41.866
194,38.7196
195,46.5053
196,19.3649
197,37.832
198,41.4973
199,33.4414
200,17.0936
201,68.0765
202,42.0525
203,33.1431
204,30.1246
205,8.62541
206,31.9575
207,11.068
208,35.7151
209,34.9614
210,54.6574
211,20.849
212,42.5712
213,23.1445
214,21.3445
215,42.8119
216,44.8883
217,23.4686
218,17.9743
219,41.5384
220,44.1886
221,33.9431
222,24.3289
223,25.1723
224,35.9885
225,17.3325
226,20.4657
227,32.8147
228,46.8622
229,20.4412
230,15.4101
231,21.1135
232,36.4576
233,35.4731
234,21.7697
235,16.3995
236,44.6649
237,48.9849
238,50.4415
239,43.035
240,58.5875
241,36.6131
242,15.4057
243,48.2138
244,51.9454
245,40.2254
246,39.179
247,22.374
248,29.3212
249,15.0628
250,22.2694
251,26.6185
252,38.0129
253,36.1173
254,33.8371
255,9.80882
256,37.8606
257,44.4766
258,20.4587
259,31.0204
260,42.4426
261,18.7757
262,33.9023
263,17.7365
264,19.6036
265,41.981
266,10.3179
267,38.5565
268,15.5146
269,51.0596
270,14.8021
271,27.4283
272,35.0031
273,57.0772
274,14.251
275,28.264
276,19.1615
277,55.8382
278,32.5695
279,22.3549
280,37.5502
281,36.2216
